name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_000041,given,male,unknown,tatar_registry,Абак,Абак,Abak,Abak,Абак,Абак,Абак,zags_2025,ev_0000001,active,given
ttn_000044,surname,male,unknown,tatar_registry,Абаков,Абаков,Abakov,Abakov,Абаков,Абаков,Абаков,zags_2025,ev_0011367,active,surname
ttn_000045,surname,female,unknown,tatar_registry,Абакова,Абакова,Abakova,Abakova,Абакова,Абакова,Абакова,zags_2025,ev_0011368,active,surname
ttn_000048,given,male,unknown,tatar_registry,Аббас,Аббас,Abbas,Abbas,Аббас,Аббас,Аббас,zags_2025,ev_0000004,active,given
ttn_000051,surname,male,unknown,tatar_registry,Аббасов,Аббасов,Abbasov,Abbasov,Аббасов,Аббасов,Аббасов,zags_2025,ev_0011369,active,surname
ttn_000052,surname,female,unknown,tatar_registry,Аббасова,Аббасова,Abbasova,Abbasova,Аббасова,Аббасова,Аббасова,zags_2025,ev_0011370,active,surname
ttn_000057,given,male,unknown,tatar_registry,Әбделфәрит,Абдельфарит,Abdelfarit,Abdelfarit,Абдельфарит,Әбделфәрит,Абдельфарит,zags_2025,ev_0000007,active,given
ttn_000058,surname,male,unknown,tatar_registry,Әбделфәритов,Абдельфаритов,Abdelfaritov,Abdelfaritov,Абдельфаритов,Әбделфәритов,Абдельфаритов,zags_2025,ev_0011371,active,surname
ttn_000059,surname,female,unknown,tatar_registry,Әбделфәритова,Абдельфаритова,Abdelfaritova,Abdelfaritova,Абдельфаритова,Әбделфәритова,Абдельфаритова,zags_2025,ev_0011372,active,surname
ttn_000062,surname,male,unknown,tatar_registry,Әбделхәев,Абдельхаев,Abdelxaev,Abdelkhaev,Абдельхаев,Әбделхәев,Абдельхаев,zags_2025,ev_0011373,active,surname
ttn_000063,surname,female,unknown,tatar_registry,Әбделхәева,Абдельхаева,Abdelxaeva,Abdelkhaeva,Абдельхаева,Әбделхәева,Абдельхаева,zags_2025,ev_0011374,active,surname
ttn_000066,given,male,unknown,tatar_registry,Әбделхәй,Абдельхай,Abdelxay,Abdelkhai,Абдельхай,Әбделхәй,Абдельхай,zags_2025,ev_0000010,active,given
ttn_000067,given,male,unknown,tatar_registry,Әбделхәмит,Абдельхамит,Abdelxamit,Abdelkhamit,Абдельхамит,Әбделхәмит,Абдельхамит,zags_2025,ev_0000013,active,given
ttn_000068,surname,male,unknown,tatar_registry,Әбделхәмитов,Абдельхамитов,Abdelxamitov,Abdelkhamitov,Абдельхамитов,Әбделхәмитов,Абдельхамитов,zags_2025,ev_0011375,active,surname
ttn_000069,surname,female,unknown,tatar_registry,Әбделхәмитова,Абдельхамитова,Abdelxamitova,Abdelkhamitova,Абдельхамитова,Әбделхәмитова,Абдельхамитова,zags_2025,ev_0011376,active,surname
ttn_000073,surname,male,unknown,tatar_registry,Әбҗәлилев,Абджалилев,Abcalilev,Abdzhalilev,Абджалилев,Әбҗәлилев,Абджалилев,zags_2025,ev_0011377,active,surname
ttn_000074,surname,female,unknown,tatar_registry,Әбҗәлилева,Абджалилева,Abcalileva,Abdzhalileva,Абджалилева,Әбҗәлилева,Абджалилева,zags_2025,ev_0011378,active,surname
ttn_000077,given,male,unknown,tatar_registry,Әбҗәлил,Абджалиль,Abcalil,Abdzhalil,Абджалиль,Әбҗәлил,Абджалиль,zags_2025,ev_0000016,active,given
ttn_000078,given,male,unknown,tatar_registry,Әбдрәзәк,Абдразак,Abdrazak,Abdrazak,Абдразак,Әбдрәзәк,Абдразак,zags_2025,ev_0000019,active,given
ttn_000079,surname,male,unknown,tatar_registry,Әбдрәзәков,Абдразаков,Abdrazakov,Abdrazakov,Абдразаков,Әбдрәзәков,Абдразаков,zags_2025,ev_0011379,active,surname
ttn_000080,surname,female,unknown,tatar_registry,Әбдрәзәкова,Абдразакова,Abdrazakova,Abdrazakova,Абдразакова,Әбдрәзәкова,Абдразакова,zags_2025,ev_0011380,active,surname
ttn_000083,given,male,unknown,tatar_registry,Әбдрәхим,Абдрахим,Abdraxim,Abdrakhim,Абдрахим,Әбдрәхим,Абдрахим,zags_2025,ev_0000022,active,given
ttn_000084,surname,male,unknown,tatar_registry,Әбдрәхимов,Абдрахимов,Abdraximov,Abdrakhimov,Абдрахимов,Әбдрәхимов,Абдрахимов,zags_2025,ev_0011381,active,surname
ttn_000085,surname,female,unknown,tatar_registry,Әбдрәхимова,Абдрахимова,Abdraximova,Abdrakhimova,Абдрахимова,Әбдрәхимова,Абдрахимова,zags_2025,ev_0011382,active,surname
ttn_000088,given,male,unknown,tatar_registry,Абдрахман,Абдрахман,Abdraxman,Abdrakhman,Абдрахман,Абдрахман,Абдрахман,zags_2025,ev_0000025,active,given
ttn_000091,surname,male,unknown,tatar_registry,Абдрахманов,Абдрахманов,Abdraxmanov,Abdrakhmanov,Абдрахманов,Абдрахманов,Абдрахманов,zags_2025,ev_0011383,active,surname
ttn_000092,surname,female,unknown,tatar_registry,Абдрахманова,Абдрахманова,Abdraxmanova,Abdrakhmanova,Абдрахманова,Абдрахманова,Абдрахманова,zags_2025,ev_0011384,active,surname
ttn_000095,given,male,unknown,tatar_registry,Әбдрәшит,Абдрашит,Abdrashit,Abdrashit,Абдрашит,Әбдрәшит,Абдрашит,zags_2025,ev_0000028,active,given
ttn_000096,surname,male,unknown,tatar_registry,Әбдрәшитов,Абдрашитов,Abdrashitov,Abdrashitov,Абдрашитов,Әбдрәшитов,Абдрашитов,zags_2025,ev_0011385,active,surname
ttn_000097,surname,female,unknown,tatar_registry,Әбдрәшитова,Абдрашитова,Abdrashitova,Abdrashitova,Абдрашитова,Әбдрәшитова,Абдрашитова,zags_2025,ev_0011386,active,surname
ttn_000101,given,male,unknown,tatar_registry,Абдулла,Абдулла,Abdulla,Abdulla,Абдулла,Абдулла,Абдулла,zags_2025,ev_0000031,active,given
ttn_000104,surname,male,unknown,tatar_registry,Абдуллин,Абдуллин,Abdullin,Abdullin,Абдуллин,Абдуллин,Абдуллин,zags_2025,ev_0011387,active,surname
ttn_000105,surname,female,unknown,tatar_registry,Абдуллина,Абдуллина,Abdullina,Abdullina,Абдуллина,Абдуллина,Абдуллина,zags_2025,ev_0011388,active,surname
ttn_000112,given,male,unknown,tatar_registry,Әбелгазый,Абельгази,Abelgazyy,Abelgazi,Абельгази,Әбелгазый,Абельгази,zags_2025,ev_0000034,active,given
ttn_000113,surname,male,unknown,tatar_registry,Әбелгазыев,Абельгазиев,Abelgazyev,Abelgaziev,Абельгазиев,Әбелгазыев,Абельгазиев,zags_2025,ev_0011389,active,surname
ttn_000114,surname,female,unknown,tatar_registry,Әбелгазыева,Абельгазиева,Abelgazyeva,Abelgazieva,Абельгазиева,Әбелгазыева,Абельгазиева,zags_2025,ev_0011390,active,surname
ttn_000117,given,male,unknown,tatar_registry,Әбелгазиз,Абельгазиз,Abelgaziz,Abelgaziz,Абельгазиз,Әбелгазиз,Абельгазиз,zags_2025,ev_0000037,active,given
ttn_000118,surname,male,unknown,tatar_registry,Әбелгазизов,Абельгазизов,Abelgazizov,Abelgazizov,Абельгазизов,Әбелгазизов,Абельгазизов,zags_2025,ev_0011391,active,surname
ttn_000119,surname,female,unknown,tatar_registry,Әбелгазизова,Абельгазизова,Abelgazizova,Abelgazizova,Абельгазизова,Әбелгазизова,Абельгазизова,zags_2025,ev_0011392,active,surname
ttn_000122,given,male,unknown,tatar_registry,Әбелгалим,Абельгалим,Abelgalim,Abelgalim,Абельгалим,Әбелгалим,Абельгалим,zags_2025,ev_0000040,active,given
ttn_000123,surname,male,unknown,tatar_registry,Әбелгалимов,Абельгалимов,Abelgalimov,Abelgalimov,Абельгалимов,Әбелгалимов,Абельгалимов,zags_2025,ev_0011393,active,surname
ttn_000124,surname,female,unknown,tatar_registry,Әбелгалимова,Абельгалимова,Abelgalimova,Abelgalimova,Абельгалимова,Әбелгалимова,Абельгалимова,zags_2025,ev_0011394,active,surname
ttn_000127,surname,male,unknown,tatar_registry,Әбелгәрәев,Абельгараев,Abelgaraev,Abelgaraev,Абельгараев,Әбелгәрәев,Абельгараев,zags_2025,ev_0011395,active,surname
ttn_000128,surname,female,unknown,tatar_registry,Әбелгәрәева,Абельгараева,Abelgaraeva,Abelgaraeva,Абельгараева,Әбелгәрәева,Абельгараева,zags_2025,ev_0011396,active,surname
ttn_000131,given,male,unknown,tatar_registry,Әбелгәрәй,Абельгарай,Abelgaray,Abelgarai,Абельгарай,Әбелгәрәй,Абельгарай,zags_2025,ev_0000043,active,given
ttn_000132,given,male,unknown,tatar_registry,Әбелгасыйм,Абельгасим,Abelgasyym,Abelgasim,Абельгасим,Әбелгасыйм,Абельгасим,zags_2025,ev_0000046,active,given
ttn_000133,surname,male,unknown,tatar_registry,Әбелгасыймов,Абельгасимов,Abelgasyymov,Abelgasimov,Абельгасимов,Әбелгасыймов,Абельгасимов,zags_2025,ev_0011397,active,surname
ttn_000134,surname,female,unknown,tatar_registry,Әбелгасыймова,Абельгасимова,Abelgasyymova,Abelgasimova,Абельгасимова,Әбелгасыймова,Абельгасимова,zags_2025,ev_0011398,active,surname
ttn_000137,given,male,unknown,tatar_registry,Әбелгата,Абельгата,Abelgata,Abelgata,Абельгата,Әбелгата,Абельгата,zags_2025,ev_0000049,active,given
ttn_000138,surname,male,unknown,tatar_registry,Әбелгатин,Абельгатин,Abelgatin,Abelgatin,Абельгатин,Әбелгатин,Абельгатин,zags_2025,ev_0011399,active,surname
ttn_000139,surname,female,unknown,tatar_registry,Әбелгатина,Абельгатина,Abelgatina,Abelgatina,Абельгатина,Әбелгатина,Абельгатина,zags_2025,ev_0011400,active,surname
ttn_000142,given,male,unknown,tatar_registry,Әбелгаффар,Абельгаффар,Abelgaffar,Abelgaffar,Абельгаффар,Әбелгаффар,Абельгаффар,zags_2025,ev_0000052,active,given
ttn_000143,surname,male,unknown,tatar_registry,Әбелгаффаров,Абельгаффаров,Abelgaffarov,Abelgaffarov,Абельгаффаров,Әбелгаффаров,Абельгаффаров,zags_2025,ev_0011401,active,surname
ttn_000144,surname,female,unknown,tatar_registry,Әбелгаффарова,Абельгаффарова,Abelgaffarova,Abelgaffarova,Абельгаффарова,Әбелгаффарова,Абельгаффарова,zags_2025,ev_0011402,active,surname
ttn_000147,given,male,unknown,tatar_registry,Әбелгаяз,Абельгаяз,Abelgayaz,Abelgaiaz,Абельгаяз,Әбелгаяз,Абельгаяз,zags_2025,ev_0000055,active,given
ttn_000148,surname,male,unknown,tatar_registry,Әбелгаязов,Абельгаязов,Abelgayazov,Abelgaiazov,Абельгаязов,Әбелгаязов,Абельгаязов,zags_2025,ev_0011403,active,surname
ttn_000149,surname,female,unknown,tatar_registry,Әбелгаязова,Абельгаязова,Abelgayazova,Abelgaiazova,Абельгаязова,Әбелгаязова,Абельгаязова,zags_2025,ev_0011404,active,surname
ttn_000152,given,male,unknown,tatar_registry,Әбелгаян,Абельгаян,Abelgayan,Abelgaian,Абельгаян,Әбелгаян,Абельгаян,zags_2025,ev_0000058,active,given
ttn_000153,surname,male,unknown,tatar_registry,Әбелгаянов,Абельгаянов,Abelgayanov,Abelgaianov,Абельгаянов,Әбелгаянов,Абельгаянов,zags_2025,ev_0011405,active,surname
ttn_000154,surname,female,unknown,tatar_registry,Әбелгаянова,Абельгаянова,Abelgayanova,Abelgaianova,Абельгаянова,Әбелгаянова,Абельгаянова,zags_2025,ev_0011406,active,surname
ttn_000157,given,male,unknown,tatar_registry,Әбелкәбир,Абелькабир,Abelkabir,Abelkabir,Абелькабир,Әбелкәбир,Абелькабир,zags_2025,ev_0000061,active,given
