name_id,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes
ttn_000041,male,Абак,Абак,Abak,Abak,zags_2025,ev_0000001,active,given
ttn_000044,male,Абаков,Абаков,Abakov,Abakov,zags_2025,ev_0011367,active,surname
ttn_000045,female,Абакова,Абакова,Abakova,Abakova,zags_2025,ev_0011368,active,surname
ttn_000048,male,Аббас,Аббас,Abbas,Abbas,zags_2025,ev_0000004,active,given
ttn_000051,male,Аббасов,Аббасов,Abbasov,Abbasov,zags_2025,ev_0011369,active,surname
ttn_000052,female,Аббасова,Аббасова,Abbasova,Abbasova,zags_2025,ev_0011370,active,surname
ttn_000057,male,Әбделфәрит,Абдельфарит,Abdelfarit,Abdelfarit,zags_2025,ev_0000007,active,given
ttn_000058,male,Әбделфәритов,Абдельфаритов,Abdelfaritov,Abdelfaritov,zags_2025,ev_0011371,active,surname
ttn_000059,female,Әбделфәритова,Абдельфаритова,Abdelfaritova,Abdelfaritova,zags_2025,ev_0011372,active,surname
ttn_000062,male,Әбделхәев,Абдельхаев,Abdelxaev,Abdelkhaev,zags_2025,ev_0011373,active,surname
ttn_000063,female,Әбделхәева,Абдельхаева,Abdelxaeva,Abdelkhaeva,zags_2025,ev_0011374,active,surname
ttn_000066,male,Әбделхәй,Абдельхай,Abdelxay,Abdelkhai,zags_2025,ev_0000010,active,given
ttn_000067,male,Әбделхәмит,Абдельхамит,Abdelxamit,Abdelkhamit,zags_2025,ev_0000013,active,given
ttn_000068,male,Әбделхәмитов,Абдельхамитов,Abdelxamitov,Abdelkhamitov,zags_2025,ev_0011375,active,surname
ttn_000069,female,Әбделхәмитова,Абдельхамитова,Abdelxamitova,Abdelkhamitova,zags_2025,ev_0011376,active,surname
ttn_000073,male,Әбҗәлилев,Абджалилев,Abcalilev,Abdzhalilev,zags_2025,ev_0011377,active,surname
ttn_000074,female,Әбҗәлилева,Абджалилева,Abcalileva,Abdzhalileva,zags_2025,ev_0011378,active,surname
ttn_000077,male,Әбҗәлил,Абджалиль,Abcalil,Abdzhalil,zags_2025,ev_0000016,active,given
ttn_000078,male,Әбдрәзәк,Абдразак,Abdrazak,Abdrazak,zags_2025,ev_0000019,active,given
ttn_000079,male,Әбдрәзәков,Абдразаков,Abdrazakov,Abdrazakov,zags_2025,ev_0011379,active,surname
ttn_000080,female,Әбдрәзәкова,Абдразакова,Abdrazakova,Abdrazakova,zags_2025,ev_0011380,active,surname
ttn_000083,male,Әбдрәхим,Абдрахим,Abdraxim,Abdrakhim,zags_2025,ev_0000022,active,given
ttn_000084,male,Әбдрәхимов,Абдрахимов,Abdraximov,Abdrakhimov,zags_2025,ev_0011381,active,surname
ttn_000085,female,Әбдрәхимова,Абдрахимова,Abdraximova,Abdrakhimova,zags_2025,ev_0011382,active,surname
ttn_000088,male,Абдрахман,Абдрахман,Abdraxman,Abdrakhman,zags_2025,ev_0000025,active,given
ttn_000091,male,Абдрахманов,Абдрахманов,Abdraxmanov,Abdrakhmanov,zags_2025,ev_0011383,active,surname
ttn_000092,female,Абдрахманова,Абдрахманова,Abdraxmanova,Abdrakhmanova,zags_2025,ev_0011384,active,surname
ttn_000095,male,Әбдрәшит,Абдрашит,Abdrashit,Abdrashit,zags_2025,ev_0000028,active,given
ttn_000096,male,Әбдрәшитов,Абдрашитов,Abdrashitov,Abdrashitov,zags_2025,ev_0011385,active,surname
ttn_000097,female,Әбдрәшитова,Абдрашитова,Abdrashitova,Abdrashitova,zags_2025,ev_0011386,active,surname
ttn_000101,male,Абдулла,Абдулла,Abdulla,Abdulla,zags_2025,ev_0000031,active,given
ttn_000104,male,Абдуллин,Абдуллин,Abdullin,Abdullin,zags_2025,ev_0011387,active,surname
ttn_000105,female,Абдуллина,Абдуллина,Abdullina,Abdullina,zags_2025,ev_0011388,active,surname
ttn_000112,male,Әбелгазый,Абельгази,Abelgazyy,Abelgazi,zags_2025,ev_0000034,active,given
ttn_000113,male,Әбелгазыев,Абельгазиев,Abelgazyev,Abelgaziev,zags_2025,ev_0011389,active,surname
ttn_000114,female,Әбелгазыева,Абельгазиева,Abelgazyeva,Abelgazieva,zags_2025,ev_0011390,active,surname
ttn_000117,male,Әбелгазиз,Абельгазиз,Abelgaziz,Abelgaziz,zags_2025,ev_0000037,active,given
ttn_000118,male,Әбелгазизов,Абельгазизов,Abelgazizov,Abelgazizov,zags_2025,ev_0011391,active,surname
ttn_000119,female,Әбелгазизова,Абельгазизова,Abelgazizova,Abelgazizova,zags_2025,ev_0011392,active,surname
ttn_000122,male,Әбелгалим,Абельгалим,Abelgalim,Abelgalim,zags_2025,ev_0000040,active,given
ttn_000123,male,Әбелгалимов,Абельгалимов,Abelgalimov,Abelgalimov,zags_2025,ev_0011393,active,surname
ttn_000124,female,Әбелгалимова,Абельгалимова,Abelgalimova,Abelgalimova,zags_2025,ev_0011394,active,surname
ttn_000127,male,Әбелгәрәев,Абельгараев,Abelgaraev,Abelgaraev,zags_2025,ev_0011395,active,surname
ttn_000128,female,Әбелгәрәева,Абельгараева,Abelgaraeva,Abelgaraeva,zags_2025,ev_0011396,active,surname
ttn_000131,male,Әбелгәрәй,Абельгарай,Abelgaray,Abelgarai,zags_2025,ev_0000043,active,given
ttn_000132,male,Әбелгасыйм,Абельгасим,Abelgasyym,Abelgasim,zags_2025,ev_0000046,active,given
ttn_000133,male,Әбелгасыймов,Абельгасимов,Abelgasyymov,Abelgasimov,zags_2025,ev_0011397,active,surname
ttn_000134,female,Әбелгасыймова,Абельгасимова,Abelgasyymova,Abelgasimova,zags_2025,ev_0011398,active,surname
ttn_000137,male,Әбелгата,Абельгата,Abelgata,Abelgata,zags_2025,ev_0000049,active,given
ttn_000138,male,Әбелгатин,Абельгатин,Abelgatin,Abelgatin,zags_2025,ev_0011399,active,surname
ttn_000139,female,Әбелгатина,Абельгатина,Abelgatina,Abelgatina,zags_2025,ev_0011400,active,surname
ttn_000142,male,Әбелгаффар,Абельгаффар,Abelgaffar,Abelgaffar,zags_2025,ev_0000052,active,given
ttn_000143,male,Әбелгаффаров,Абельгаффаров,Abelgaffarov,Abelgaffarov,zags_2025,ev_0011401,active,surname
ttn_000144,female,Әбелгаффарова,Абельгаффарова,Abelgaffarova,Abelgaffarova,zags_2025,ev_0011402,active,surname
ttn_000147,male,Әбелгаяз,Абельгаяз,Abelgayaz,Abelgaiaz,zags_2025,ev_0000055,active,given
ttn_000148,male,Әбелгаязов,Абельгаязов,Abelgayazov,Abelgaiazov,zags_2025,ev_0011403,active,surname
ttn_000149,female,Әбелгаязова,Абельгаязова,Abelgayazova,Abelgaiazova,zags_2025,ev_0011404,active,surname
ttn_000152,male,Әбелгаян,Абельгаян,Abelgayan,Abelgaian,zags_2025,ev_0000058,active,given
ttn_000153,male,Әбелгаянов,Абельгаянов,Abelgayanov,Abelgaianov,zags_2025,ev_0011405,active,surname
ttn_000154,female,Әбелгаянова,Абельгаянова,Abelgayanova,Abelgaianova,zags_2025,ev_0011406,active,surname
ttn_000157,male,Әбелкәбир,Абелькабир,Abelkabir,Abelkabir,zags_2025,ev_0000061,active,given
ttn_000158,male,Әбелкәбиров,Абелькабиров,Abelkabirov,Abelkabirov,zags_2025,ev_0011407,active,surname
ttn_000159,female,Әбелкәбирова,Абелькабирова,Abelkabirova,Abelkabirova,zags_2025,ev_0011408,active,surname
ttn_000162,male,Әбелкадыйр,Абелькадыр,Abelkadyyr,Abelkadyr,zags_2025,ev_0000064,active,given
ttn_000163,male,Әбелкадыйров,Абелькадыров,Abelkadyyrov,Abelkadyrov,zags_2025,ev_0011409,active,surname
ttn_000164,female,Әбелкадыйрова,Абелькадырова,Abelkadyyrova,Abelkadyrova,zags_2025,ev_0011410,active,surname
ttn_000167,male,Әбелкәрам,Абелькарам,Abelkaram,Abelkaram,zags_2025,ev_0000067,active,given
ttn_000168,male,Әбелкәрамов,Абелькарамов,Abelkaramov,Abelkaramov,zags_2025,ev_0011411,active,surname
ttn_000169,female,Әбелкәрамова,Абелькарамова,Abelkaramova,Abelkaramova,zags_2025,ev_0011412,active,surname
ttn_000172,male,Әбелкәрим,Абелькарим,Abelkarim,Abelkarim,zags_2025,ev_0000070,active,given
ttn_000173,male,Әбелкәримов,Абелькаримов,Abelkarimov,Abelkarimov,zags_2025,ev_0011413,active,surname
ttn_000174,female,Әбелкәримова,Абелькаримова,Abelkarimova,Abelkarimova,zags_2025,ev_0011414,active,surname
ttn_000177,male,Әбелкасыйм,Абелькасим,Abelkasyym,Abelkasim,zags_2025,ev_0000073,active,given
ttn_000178,male,Әбелкасыймов,Абелькасимов,Abelkasyymov,Abelkasimov,zags_2025,ev_0011415,active,surname
ttn_000179,female,Әбелкасыймова,Абелькасимова,Abelkasyymova,Abelkasimova,zags_2025,ev_0011416,active,surname
ttn_000182,male,Әбелкаюм,Абелькаюм,Abelkayum,Abelkaium,zags_2025,ev_0000076,active,given
ttn_000183,male,Әбелкаюмов,Абелькаюмов,Abelkayumov,Abelkaiumov,zags_2025,ev_0011417,active,surname
ttn_000184,female,Әбелкаюмова,Абелькаюмова,Abelkayumova,Abelkaiumova,zags_2025,ev_0011418,active,surname
ttn_000187,male,Әбелмәних,Абельманих,Abelmanix,Abelmanikh,zags_2025,ev_0000079,active,given
ttn_000188,male,Әбелмәнихов,Абельманихов,Abelmanixov,Abelmanikhov,zags_2025,ev_0011419,active,surname
ttn_000189,female,Әбелмәнихова,Абельманихова,Abelmanixova,Abelmanikhova,zags_2025,ev_0011420,active,surname
ttn_000192,male,Әбелмоталлап,Абельмуталлап,Abelmotallap,Abelmutallap,zags_2025,ev_0000082,active,given
ttn_000193,male,Әбелмоталлапов,Абельмуталлапов,Abelmotallapov,Abelmutallapov,zags_2025,ev_0011421,active,surname
ttn_000194,female,Әбелмоталлапова,Абельмуталлапова,Abelmotallapova,Abelmutallapova,zags_2025,ev_0011422,active,surname
ttn_000197,male,Әбелфәез,Абельфаиз,Abelfaez,Abelfaiz,zags_2025,ev_0000085,active,given
ttn_000198,male,Әбелфәезов,Абельфаизов,Abelfaezov,Abelfaizov,zags_2025,ev_0011423,active,surname
ttn_000199,female,Әбелфәезова,Абельфаизова,Abelfaezova,Abelfaizova,zags_2025,ev_0011424,active,surname
