review_id,subject_kind,subject_id,queue_reason,suggested_relation,source_id,evidence_id,notes
rq_0000001,form,f_0003859,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Айгулечка
rq_0000002,form,f_0003860,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Айгулька
rq_0000003,form,f_0003861,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Айгульчик
rq_0000004,form,f_0003863,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Айка
rq_0000005,form,f_0006537,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Алика
rq_0000006,form,f_0006539,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Алиша
rq_0000007,form,f_0020800,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Билей
rq_0000008,form,f_0039076,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Зайнаш
rq_0000009,form,f_0045542,weak_evidence_form,review_candidate,tatar_unified_bootstrap,,Имранов
rq_0000010,rule,Олеся::Алеся,confusable_rule_not_in_dataset,near_confusable_but_distinct,confusables_rule,,Different canonical names despite edit distance 1
rq_0000011,rule,Илнар::Эльнар,confusable_rule_not_in_dataset,near_confusable_but_distinct,confusables_rule,,Similar structure but distinct independent names
rq_0000012,rule,Дамир::Димир,confusable_rule_not_in_dataset,near_confusable_but_distinct,confusables_rule,,Single-vowel change remains merge-unsafe
rq_0000013,excluded_entity,ttn_000046,generated_patronymic,review_candidate,zags_2025,ev_0000002,patronymic
rq_0000014,excluded_entity,ttn_000047,generated_patronymic,review_candidate,zags_2025,ev_0000003,patronymic
rq_0000015,excluded_entity,ttn_000053,generated_patronymic,review_candidate,zags_2025,ev_0000005,patronymic
rq_0000016,excluded_entity,ttn_000054,generated_patronymic,review_candidate,zags_2025,ev_0000006,patronymic
rq_0000017,excluded_entity,ttn_000055,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000018,excluded_entity,ttn_000056,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000019,excluded_entity,ttn_000060,generated_patronymic,review_candidate,zags_2025,ev_0000008,patronymic
rq_0000020,excluded_entity,ttn_000061,generated_patronymic,review_candidate,zags_2025,ev_0000009,patronymic
rq_0000021,excluded_entity,ttn_000064,generated_patronymic,review_candidate,zags_2025,ev_0000011,patronymic
rq_0000022,excluded_entity,ttn_000065,generated_patronymic,review_candidate,zags_2025,ev_0000012,patronymic
rq_0000023,excluded_entity,ttn_000070,generated_patronymic,review_candidate,zags_2025,ev_0000014,patronymic
