entity_id,entity_type,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes,is_lexical_exception
ttn_000041,given,male,Абак,Абак,Abak,Abak,zags_2025,ev_0000001,active,given,false
ttn_000044,surname,male,Абаков,Абаков,Abakov,Abakov,zags_2025,ev_0011367,active,surname,false
ttn_000045,surname,female,Абакова,Абакова,Abakova,Abakova,zags_2025,ev_0011368,active,surname,false
ttn_000048,given,male,Аббас,Аббас,Abbas,Abbas,zags_2025,ev_0000004,active,given,false
ttn_000051,surname,male,Аббасов,Аббасов,Abbasov,Abbasov,zags_2025,ev_0011369,active,surname,false
ttn_000052,surname,female,Аббасова,Аббасова,Abbasova,Abbasova,zags_2025,ev_0011370,active,surname,false
ttn_000057,given,male,Әбделфәрит,Абдельфарит,Abdelfarit,Abdelfarit,zags_2025,ev_0000007,active,given,false
ttn_000058,surname,male,Әбделфәритов,Абдельфаритов,Abdelfaritov,Abdelfaritov,zags_2025,ev_0011371,active,surname,false
ttn_000059,surname,female,Әбделфәритова,Абдельфаритова,Abdelfaritova,Abdelfaritova,zags_2025,ev_0011372,active,surname,false
ttn_000062,surname,male,Әбделхәев,Абдельхаев,Abdelxaev,Abdelkhaev,zags_2025,ev_0011373,active,surname,false
ttn_000063,surname,female,Әбделхәева,Абдельхаева,Abdelxaeva,Abdelkhaeva,zags_2025,ev_0011374,active,surname,false
ttn_000066,given,male,Әбделхәй,Абдельхай,Abdelxay,Abdelkhai,zags_2025,ev_0000010,active,given,false
ttn_000067,given,male,Әбделхәмит,Абдельхамит,Abdelxamit,Abdelkhamit,zags_2025,ev_0000013,active,given,false
ttn_000068,surname,male,Әбделхәмитов,Абдельхамитов,Abdelxamitov,Abdelkhamitov,zags_2025,ev_0011375,active,surname,false
ttn_000069,surname,female,Әбделхәмитова,Абдельхамитова,Abdelxamitova,Abdelkhamitova,zags_2025,ev_0011376,active,surname,false
ttn_000073,surname,male,Әбҗәлилев,Абджалилев,Abcalilev,Abdzhalilev,zags_2025,ev_0011377,active,surname,false
ttn_000074,surname,female,Әбҗәлилева,Абджалилева,Abcalileva,Abdzhalileva,zags_2025,ev_0011378,active,surname,false
ttn_000077,given,male,Әбҗәлил,Абджалиль,Abcalil,Abdzhalil,zags_2025,ev_0000016,active,given,false
ttn_000078,given,male,Әбдрәзәк,Абдразак,Abdrazak,Abdrazak,zags_2025,ev_0000019,active,given,false
ttn_000079,surname,male,Әбдрәзәков,Абдразаков,Abdrazakov,Abdrazakov,zags_2025,ev_0011379,active,surname,false
ttn_000080,surname,female,Әбдрәзәкова,Абдразакова,Abdrazakova,Abdrazakova,zags_2025,ev_0011380,active,surname,false
