original_name_id,reason,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes
ttn_000046,generated_patronymic,male,Абак улы,Абакович,Abak uly,Abakovich,zags_2025,ev_0000002,active,patronymic
ttn_000047,generated_patronymic,female,Абак кызы,Абаковна,Abak kyzy,Abakovna,zags_2025,ev_0000003,active,patronymic
ttn_000053,generated_patronymic,male,Аббас улы,Аббасович,Abbas uly,Abbasovich,zags_2025,ev_0000005,active,patronymic
ttn_000054,generated_patronymic,female,Аббас кызы,Аббасовна,Abbas kyzy,Abbasovna,zags_2025,ev_0000006,active,patronymic
ttn_000055,missing_tatar_canonical,male,,Аббяс,,Abbias,tatar_unified_bootstrap,,active,bootstrap
ttn_000056,missing_tatar_canonical,male,,Абдель,,Abdel,tatar_unified_bootstrap,,active,bootstrap
ttn_000060,generated_patronymic,male,Әбделфәрит улы,Абдельфаритович,Abdelfarit uly,Abdelfaritovich,zags_2025,ev_0000008,active,patronymic
ttn_000061,generated_patronymic,female,Әбделфәрит кызы,Абдельфаритовна,Abdelfarit kyzy,Abdelfaritovna,zags_2025,ev_0000009,active,patronymic
ttn_000064,generated_patronymic,male,Әбделхәй улы,Абдельхаевич,Abdelxay uly,Abdelkhaevich,zags_2025,ev_0000011,active,patronymic
ttn_000065,generated_patronymic,female,Әбделхәй кызы,Абдельхаевна,Abdelxay kyzy,Abdelkhaevna,zags_2025,ev_0000012,active,patronymic
ttn_000070,generated_patronymic,male,Әбделхәмит улы,Абдельхамитович,Abdelxamit uly,Abdelkhamitovich,zags_2025,ev_0000014,active,patronymic
ttn_000071,generated_patronymic,female,Әбделхәмит кызы,Абдельхамитовна,Abdelxamit kyzy,Abdelkhamitovna,zags_2025,ev_0000015,active,patronymic
ttn_000072,missing_tatar_canonical,male,,Абджалил,,Abdzhalil,tatar_unified_bootstrap,,active,bootstrap
ttn_000075,generated_patronymic,male,Әбҗәлил улы,Абджалилевич,Abcalil uly,Abdzhalilevich,zags_2025,ev_0000017,active,patronymic
ttn_000076,generated_patronymic,female,Әбҗәлил кызы,Абджалилевна,Abcalil kyzy,Abdzhalilevna,zags_2025,ev_0000018,active,patronymic
ttn_000081,generated_patronymic,male,Әбдрәзәк улы,Абдразакович,Abdrazak uly,Abdrazakovich,zags_2025,ev_0000020,active,patronymic
ttn_000082,generated_patronymic,female,Әбдрәзәк кызы,Абдразаковна,Abdrazak kyzy,Abdrazakovna,zags_2025,ev_0000021,active,patronymic
ttn_000086,generated_patronymic,male,Әбдрәхим улы,Абдрахимович,Abdraxim uly,Abdrakhimovich,zags_2025,ev_0000023,active,patronymic
ttn_000087,generated_patronymic,female,Әбдрәхим кызы,Абдрахимовна,Abdraxim kyzy,Abdrakhimovna,zags_2025,ev_0000024,active,patronymic
ttn_000093,generated_patronymic,male,Абдрахман улы,Абдрахманович,Abdraxman uly,Abdrakhmanovich,zags_2025,ev_0000026,active,patronymic
ttn_000094,generated_patronymic,female,Абдрахман кызы,Абдрахмановна,Abdraxman kyzy,Abdrakhmanovna,zags_2025,ev_0000027,active,patronymic
ttn_000098,generated_patronymic,male,Әбдрәшит улы,Абдрашитович,Abdrashit uly,Abdrashitovich,zags_2025,ev_0000029,active,patronymic
ttn_000099,generated_patronymic,female,Әбдрәшит кызы,Абдрашитовна,Abdrashit kyzy,Abdrashitovna,zags_2025,ev_0000030,active,patronymic
ttn_000100,missing_tatar_canonical,male,,Абдул,,Abdul,tatar_unified_bootstrap,,active,bootstrap
ttn_000106,generated_patronymic,male,Абдулла улы,Абдуллович,Abdulla uly,Abdullovich,zags_2025,ev_0000032,active,patronymic
ttn_000107,generated_patronymic,female,Абдулла кызы,Абдулловна,Abdulla kyzy,Abdullovna,zags_2025,ev_0000033,active,patronymic
ttn_000108,missing_tatar_canonical,male,,Абдулхак,,Abdulkhak,tatar_unified_bootstrap,,active,bootstrap
ttn_000109,missing_tatar_canonical,male,,Абдулхан,,Abdulkhan,tatar_unified_bootstrap,,active,bootstrap
ttn_000110,missing_tatar_canonical,male,,Абдурахман,,Abdurakhman,tatar_unified_bootstrap,,active,bootstrap
ttn_000111,missing_tatar_canonical,male,,Абдуррауф,,Abdurrauf,tatar_unified_bootstrap,,active,bootstrap
ttn_000115,generated_patronymic,male,Әбелгазый улы,Абельгазиевич,Abelgazyy uly,Abelgazievich,zags_2025,ev_0000035,active,patronymic
ttn_000116,generated_patronymic,female,Әбелгазый кызы,Абельгазиевна,Abelgazyy kyzy,Abelgazievna,zags_2025,ev_0000036,active,patronymic
ttn_000120,generated_patronymic,male,Әбелгазиз улы,Абельгазизович,Abelgaziz uly,Abelgazizovich,zags_2025,ev_0000038,active,patronymic
ttn_000121,generated_patronymic,female,Әбелгазиз кызы,Абельгазизовна,Abelgaziz kyzy,Abelgazizovna,zags_2025,ev_0000039,active,patronymic
